Id,Sales
1,4687.3174
2,7531.406
3,9697.844
4,7220.461
5,7989.2505
6,6364.176
7,7161.648
8,8858.378
9,5954.9067
10,6389.0234
11,7365.73
12,8876.746
13,8119.1733
14,9157.712
15,6622.74
16,5385.4307
17,6295.7744
18,10762.725
19,12107.574
20,10754.219
21,9506.108
22,4805.407
23,6293.229
24,5083.2725
25,8110.0884
26,12031.342
27,9436.315
28,6890.64
29,6127.265
30,4214.3496
31,6703.255
32,11222.928
33,7045.555
34,6322.61
35,6336.354
36,8150.8345
37,4019.428
38,8525.618
39,4880.3276
40,8103.2153
41,6965.591
42,5601.5645
43,9340.968
44,8476.877
45,5464.248
46,7881.72
47,8197.928
48,12206.399
49,6704.131
50,9917.252
51,7674.846
52,8760.119
53,7549.88
54,10486.79
55,5769.3877
56,5448.736
57,6530.6743
58,6558.067
59,10529.27
60,8658.11
61,6326.5845
62,8052.587
63,7541.9067
64,10152.017
65,4284.114
66,14577.36
67,5428.922
68,7108.003
69,9026.894
70,5253.538
71,7845.1396
72,6485.002
73,8928.042
74,6316.8057
75,5922.0874
76,8488.372
77,8126.494
78,7102.2095
79,6090.231
80,7832.252
81,11751.033
82,6906.561
83,4714.9976
84,7511.9375
85,6841.2754
86,5953.7256
87,8829.482
88,4423.695
89,9959.011
90,6976.933
91,7884.1787
92,8316.772
93,4982.8853
94,6717.795
95,6318.4746
96,9848.788
97,9416.69
98,5666.2646
99,5042.5933
100,8224.914
101,6553.553
102,6648.382
103,8138.6475
104,8341.285
105,7962.9243
106,6014.274
107,5349.196
108,7024.5625
109,8164.184
110,8301.63
111,9196.352
112,8923.182
113,5990.6323
114,9916.24
115,6498.5854
116,7815.583
117,10187.523
118,7904.0537
119,10524.933
120,8409.354
121,9024.725
122,6019.2603
123,7900.9185
124,9272.308
125,7576.799
126,4345.2134
127,5823.933
128,9422.215
129,6381.43
130,4530.0728
131,10160.017
132,7406.3735
133,6893.861
134,6287.3203
135,5898.24
136,7850.386
137,7455.4414
138,8059.3477
139,6243.487
140,6058.792
141,7547.893
142,4205.236
143,6950.919
144,6170.548
145,8818.618
146,8466.688
147,6563.623
148,15425.715
149,5914.513
150,5193.7344
151,11621.331
